sleep_hours,sleep_quality,study_hours,attendance_percent,assignment_deadlines_per_week,exercise_hours,junk_food_freq,caffeine_intake,screen_time_hours,social_media_hours,family_support,peer_pressure,financial_concerns,stress_score,stress_level
6.957075619631647,Average,2.908579861343275,70.61091259616704,0,2.9850071872194914,Often,2,7.479738149944289,0.0,1,4,2,36.0,Medium
4.940023840639257,Average,3.501950201476914,83.71134602709783,3,0.0,Rare,7,4.663863440913798,1.2779948848804479,3,5,2,58.0,Medium
7.625676793709686,Average,5.026387311962881,100.0,4,3.4861577613639367,Often,1,7.56635495391009,2.6051145031689056,4,2,2,27.7,Low
7.910847074586821,Average,5.566284519009418,81.27165561285032,4,0.0,Rare,6,8.555320420798397,4.925666210918518,2,5,5,72.5,High
3.5734472170192455,Poor,3.7499919076010553,75.40152282353642,6,1.631349787136886,Rare,7,10.384972269393081,1.8862914524801568,4,5,4,83.3,High
4.546730739706523,Average,5.153928766503911,77.67838765324458,2,0.0,Rare,1,8.034637949856746,0.5604884696867041,3,3,5,60.8,Medium
6.691760604750928,Poor,6.215879067478879,65.3097004276198,4,0.4156225070984856,Rare,5,6.961974118332182,5.896576358499781,4,4,4,68.7,High
6.025636111484626,Good,8.922903647527296,94.48963286164458,6,3.94650028790743,Rare,5,2.5502905488073004,1.530134010896222,4,1,3,44.9,Medium
6.474798263743566,Good,4.7475112411304385,83.1288310759661,0,3.5666868107520813,Often,8,5.733686926903131,0.7442589854775075,2,5,3,48.9,Medium
5.22043410863963,Poor,4.917405369318875,69.51102093702153,5,3.7269834496671566,Sometimes,2,2.4433464024054055,3.4546706681931343,1,2,2,48.6,Medium
7.819096962294243,Poor,8.05490469195902,69.83681709871247,0,0.0,Sometimes,4,3.952810325664113,2.8998507175544677,5,2,1,33.6,Medium
7.666687903143423,Poor,3.9016682834038097,80.15282379148826,3,0.42341576269750547,Rare,3,10.88764581333422,1.9997474860871594,5,5,4,51.0,Medium
6.599046046341824,Average,2.3512939344756383,89.31995393338487,5,2.509808853246698,Rare,3,3.4424162218714063,3.0007357922326046,5,2,2,23.3,Low
8.190861810452049,Good,5.500497951317925,68.49010091263028,3,3.072976235269022,Rare,8,0.14351848893677754,1.1481190366731198,1,4,1,37.9,Medium
7.2012640133780685,Average,7.15235005017583,91.13409341867171,3,0.8007294723520628,Rare,5,8.032915486065372,1.9768383753012084,4,2,3,49.3,Medium
5.211061305675143,Poor,5.722094270399371,79.08366448043097,4,1.1316179261841173,Sometimes,1,4.3173323291143655,2.9277410604248635,1,2,3,55.7,Medium
